review,voted_up,playtime_hours,votes_up,burnout_score,review_lower,theme_endgame_emptiness,theme_grind_fatigue,theme_pal_management_burden,theme_base_building_issues,theme_early_access_unfinished,theme_progression_ceiling,theme_performance_bugs,theme_update_disappointment,theme_raid_dungeon_lack,theme_multiplayer_issues,theme_creative_freedom_positive,theme_quit_signal,playtime_bucket
"Boring with friends, as you progress differently. I just don't like meaningless grinding",False,38.016666666666666,6,7,"boring with friends, as you progress differently. i just don't like meaningless grinding",0,2,0,0,0,0,0,0,0,1,0,0,<50h
"If I could leave a neutral review, I would. Palworld is essentialy like Pokemon Legends Arceus mixed with Valheim building mechanics, breath of the wild graphics and fortnite combat. Its a good game in many regards, but then theres elements that hold it back significantly.

The Pros:
+ Weaker pals can be powered up and you could keep them till the end of the game if you like while still being useful (eg- I had a Direhowl I kept with me).
+ You can essentially teach any pal any move from any element, while being alot less restricted. You still benefit from having abilities that boost the power of moves that match the pals typing. 
+ The world feels big with initially always something to do (eg- mining, finding items, opening chests, fighting npcs, capturing new pals, finding statues etc) with wide variations of interesting terrain.
+ The Pal Sphere capture mechanics is fair and well done, which you can see the capture rate and how successful a throw was, which is a huge improvement of other systems ive seen in other games.
+ NPCs respawn in the world if you kill or capture one, meaning your not locked out from speaking to them/content.
+ Fast travel is well implemented.
+ Its really cool having pals actively working at base, where they dont just sit in a box where you forget about them.
+ Levels increase depending on the area youre exploring and you can explore anywhere right off the bat.
+ A wide number of customisable options available for customising a worlds gameplay (eg- I had more objects spawn when mining/looting that reduces grind and you can change the difficulty too).
+ Different pals have regional variants (usually just a colour change/typing change though). Id still rather more pal species variety however but its still a cool addition.
+ It has multiplayer!

The Negatives:
- Its an extremely grindy game to the point of it not being fun. Its like those mobile games where you need to sit there waiting for something to craft and you need to make an item, to get another item, to craft this item before making the item you were originally trying to make. Its a whole frustrating process that signficantly brings down the game.
- Theres no in game weather like rain/strong wind/snow/dust storms.
-the police mechanic is terrible, where they will keep spawning in randomly out of thin air just to pursue you endlessly.
- Exploring caves/raiding bases feels way too repetitive. It gets really boring.
- Theres next to no in game music that massively breaks immersion.
- The radius for where you can build in a base feels way too small and you cant label them on the map.
- Armor sets/weapon/accessory variety is very limited. 
- Combat is passable but feels very clunky compared to many other games.
- The carry weight and weapon durabiliy mechanic is on by default (can be turned off in world settings)
- Buildings scattered around the world lack enough variety.
- Captured humans are very useless. 
- Lucky Pals (they just have better abilities and are bigger in size) dont feel rewarding to farm compared to pokemons shiny hunting.
- Legendary Pals are stationary and should roam the world. It feels like capturing any other pal.
- Mid to late game, exploring the world for the same chests, the same random items on the ground, the same ores, it gets boring, 
- Not being able to remap all controls such as mouse scroll thats permanently set to weapon toggle. 

Palworld is still in early access, with some amazing ideas and so much potential, but theres too many things holding it back for me to recommend at this present time. Don't go in expecting it to be just ""Pokemon with Guns"" as Palworld is its own unique experience. For me, its currently a neutral rating but hopefully they address these issues going into the full release.",False,108.0,18,11,"if i could leave a neutral review, i would. palworld is essentialy like pokemon legends arceus mixed with valheim building mechanics, breath of the wild graphics and fortnite combat. its a good game in many regards, but then theres elements that hold it back significantly.

the pros:
+ weaker pals can be powered up and you could keep them till the end of the game if you like while still being useful (eg- i had a direhowl i kept with me).
+ you can essentially teach any pal any move from any element, while being alot less restricted. you still benefit from having abilities that boost the power of moves that match the pals typing. 
+ the world feels big with initially always something to do (eg- mining, finding items, opening chests, fighting npcs, capturing new pals, finding statues etc) with wide variations of interesting terrain.
+ the pal sphere capture mechanics is fair and well done, which you can see the capture rate and how successful a throw was, which is a huge improvement of other systems ive seen in other games.
+ npcs respawn in the world if you kill or capture one, meaning your not locked out from speaking to them/content.
+ fast travel is well implemented.
+ its really cool having pals actively working at base, where they dont just sit in a box where you forget about them.
+ levels increase depending on the area youre exploring and you can explore anywhere right off the bat.
+ a wide number of customisable options available for customising a worlds gameplay (eg- i had more objects spawn when mining/looting that reduces grind and you can change the difficulty too).
+ different pals have regional variants (usually just a colour change/typing change though). id still rather more pal species variety however but its still a cool addition.
+ it has multiplayer!

the negatives:
- its an extremely grindy game to the point of it not being fun. its like those mobile games where you need to sit there waiting for something to craft and you need to make an item, to get another item, to craft this item before making the item you were originally trying to make. its a whole frustrating process that signficantly brings down the game.
- theres no in game weather like rain/strong wind/snow/dust storms.
-the police mechanic is terrible, where they will keep spawning in randomly out of thin air just to pursue you endlessly.
- exploring caves/raiding bases feels way too repetitive. it gets really boring.
- theres next to no in game music that massively breaks immersion.
- the radius for where you can build in a base feels way too small and you cant label them on the map.
- armor sets/weapon/accessory variety is very limited. 
- combat is passable but feels very clunky compared to many other games.
- the carry weight and weapon durabiliy mechanic is on by default (can be turned off in world settings)
- buildings scattered around the world lack enough variety.
- captured humans are very useless. 
- lucky pals (they just have better abilities and are bigger in size) dont feel rewarding to farm compared to pokemons shiny hunting.
- legendary pals are stationary and should roam the world. it feels like capturing any other pal.
- mid to late game, exploring the world for the same chests, the same random items on the ground, the same ores, it gets boring, 
- not being able to remap all controls such as mouse scroll thats permanently set to weapon toggle. 

palworld is still in early access, with some amazing ideas and so much potential, but theres too many things holding it back for me to recommend at this present time. don't go in expecting it to be just ""pokemon with guns"" as palworld is its own unique experience. for me, its currently a neutral rating but hopefully they address these issues going into the full release.",0,4,0,0,1,1,0,0,1,1,0,0,50-150h
"Palworld is a nice little game. It's ARK with Pokemon. I bought the game because I heard many great things about it, and I remember people loving the game when it first launched.

Unfortunately, I have quite a few problems with the game. IMO there are a lot of baffling decisions when it comes to the difficulty, even if ""oh it's fine though cause you can change it at will"". I find this is still worthy of criticism because the default settings themselves don't feel balanced, so you need to tweak things slowly until you find what works for you. That, or you look up an online guide that says ""these are the best palworld settings for maximum fun!"" but fun is subjective...

The music is perfectly mediocre. Not much else to say about it lol

Quests are a nice little checkmark, but the lack of any real interconnected quest or side story makes it feel empty. It would've been nice if the game had quest chains with written stories, but nah, they're all individual.

The ""main story"" or ""main objective"" to defeat the towers is... serviceable. The unfortunate thing is that the game doesn't eventually develop into a mood of ""you're now in the final area! You've almost beaten the game!"". Things just feel the same, all the time. The only difference is that now you can unlock things in the upgrade tree... yay? I've yet to defeat the Feybreak Tower, but part of me believes me that the game will not have any closure or sense of finality once I do that. You may argue that the game is still in early access.. but c'mon. That's just cope.

The combat itself is really whatever. Player interactivity feels practically absent: Because Player weapons feel so weak in general, the only thing you're left to do in combat is use items, switch Pals, and dodge attacks. This makes Palworld feel more like an auto-clicker/afk.

One more problem I can point out is the grinding is so monotonous in the late game. Yes, change the settings... But if your stuff is underleveled, there's isn't a fun way to level up your Pals if you're trying to get from 60 to 65. This problem is highlighted even more when you realize the combat is just a dodge/switch Pal loop.

--

For the positives though, and why Palworld may be good for you..
- You like optimizing teams
- You like exploring
- The game genuinely feels like an ""Open world Pokemon game"" at times
- You like breeding
- You like collecting 
- You like optimizing workflow in a factory setting

To conclude, I've had my fun with the game, but I find it hard to believe there isn't a better game out there than what Palworld has to offer. The fact that I got mislead by the people who called it ""Pokemon with guns"" when it's actually ""ARK with a pokemon mod"" feels saddening, because I would've thought the game had more stuff to do with the Pals other than labor.  

You could say that ""Palworld just isn't for me"", and that might be true. I do like my games to have a sense of direction and finality to them, like how you can still explore and do things in Elden Ring after you've defeated the final boss (which you know is the final boss due to the setup).

At the very least, in terms of the Price per Playtime, Palworld is definitely worth buying.",False,263.43333333333334,8,9,"palworld is a nice little game. it's ark with pokemon. i bought the game because i heard many great things about it, and i remember people loving the game when it first launched.

unfortunately, i have quite a few problems with the game. imo there are a lot of baffling decisions when it comes to the difficulty, even if ""oh it's fine though cause you can change it at will"". i find this is still worthy of criticism because the default settings themselves don't feel balanced, so you need to tweak things slowly until you find what works for you. that, or you look up an online guide that says ""these are the best palworld settings for maximum fun!"" but fun is subjective...

the music is perfectly mediocre. not much else to say about it lol

quests are a nice little checkmark, but the lack of any real interconnected quest or side story makes it feel empty. it would've been nice if the game had quest chains with written stories, but nah, they're all individual.

the ""main story"" or ""main objective"" to defeat the towers is... serviceable. the unfortunate thing is that the game doesn't eventually develop into a mood of ""you're now in the final area! you've almost beaten the game!"". things just feel the same, all the time. the only difference is that now you can unlock things in the upgrade tree... yay? i've yet to defeat the feybreak tower, but part of me believes me that the game will not have any closure or sense of finality once i do that. you may argue that the game is still in early access.. but c'mon. that's just cope.

the combat itself is really whatever. player interactivity feels practically absent: because player weapons feel so weak in general, the only thing you're left to do in combat is use items, switch pals, and dodge attacks. this makes palworld feel more like an auto-clicker/afk.

one more problem i can point out is the grinding is so monotonous in the late game. yes, change the settings... but if your stuff is underleveled, there's isn't a fun way to level up your pals if you're trying to get from 60 to 65. this problem is highlighted even more when you realize the combat is just a dodge/switch pal loop.

--

for the positives though, and why palworld may be good for you..
- you like optimizing teams
- you like exploring
- the game genuinely feels like an ""open world pokemon game"" at times
- you like breeding
- you like collecting 
- you like optimizing workflow in a factory setting

to conclude, i've had my fun with the game, but i find it hard to believe there isn't a better game out there than what palworld has to offer. the fact that i got mislead by the people who called it ""pokemon with guns"" when it's actually ""ark with a pokemon mod"" feels saddening, because i would've thought the game had more stuff to do with the pals other than labor.  

you could say that ""palworld just isn't for me"", and that might be true. i do like my games to have a sense of direction and finality to them, like how you can still explore and do things in elden ring after you've defeated the final boss (which you know is the final boss due to the setup).

at the very least, in terms of the price per playtime, palworld is definitely worth buying.",0,3,0,0,1,0,0,0,0,0,0,1,150-300h
"Really fun game but lazy devs. I mean accidently using a move and then it stunlocking me for 10 seconds until the animation is over during a boss fight where a single hit is half my hp... How hard is it to add a button to cancel it? Games fun till you're grinding level 4 pals for expeditions and letting your pals do all the fighting while you sit there and do no damage with your own guns. I tried over and over to 100% the game, so ♥♥♥♥♥♥♥ boring.",False,233.01666666666668,3,9,"really fun game but lazy devs. i mean accidently using a move and then it stunlocking me for 10 seconds until the animation is over during a boss fight where a single hit is half my hp... how hard is it to add a button to cancel it? games fun till you're grinding level 4 pals for expeditions and letting your pals do all the fighting while you sit there and do no damage with your own guns. i tried over and over to 100% the game, so ♥♥♥♥♥♥♥ boring.",0,2,0,0,0,0,0,1,1,0,0,0,150-300h
"the game dosent work. the idea is great but execution lacks. and i dont care about the game's potential, im going to talk about the game i am playing and paid for. saying the game is early access does not pass for me, especially in the market it is fighting in. the base game is not good enough to be played without mods.

- the ai is trash. like, ridiculously bad. the first time i went into an oil rig i was super excited to explore and fight, only to be faced with the most braindead enemies. their pathing is awful, they cant detect me unless im in their face, and even then, the fight is boring.
- the pals ai is also pretty bad in combat. too many times my pal's size made its path break and it couldnt come inside buildings i was fighting in.
- the base pals gets stuck all the time. how does this still happen after 2 years of development?
- fighting with pals is underwhelming. if i ride one, i use the 3 skills i have, wait x amount of time, and use them again. there is no flow. also, the casting time sucks. waiting 3 seconds for an animation ruins the flow. why dont pals have basic attacks? like a punch to fill the gaps between cooldowns.
- riding ground pals is bad. i get stuck on the smallest rock while running on a slope. cant climb anything, so i need to get off a pal, climb, and get on the pal again. just ruins the flow
- going on and off pals is so bad. i press the button and either the pal doesnt come or i looked at something else, so the key ends up doing something else.
- whats the point of an aiming cursor if the thing im AIMING at doesnt register? for example, if im close to a pal and try to shoot it, or worse, trying to pick up things from the ground while riding a pal is a pain.
- movment in base lacks. rolling around 10 times to get faster to a chest sucks
- pals put stuff in random chests. i dont want to need to modify every chest just so they put them where i want them too.

to sum up. in no way does this game deserve the overwhelmingly positive title, its too broken.",False,114.38333333333334,6,7,"the game dosent work. the idea is great but execution lacks. and i dont care about the game's potential, im going to talk about the game i am playing and paid for. saying the game is early access does not pass for me, especially in the market it is fighting in. the base game is not good enough to be played without mods.

- the ai is trash. like, ridiculously bad. the first time i went into an oil rig i was super excited to explore and fight, only to be faced with the most braindead enemies. their pathing is awful, they cant detect me unless im in their face, and even then, the fight is boring.
- the pals ai is also pretty bad in combat. too many times my pal's size made its path break and it couldnt come inside buildings i was fighting in.
- the base pals gets stuck all the time. how does this still happen after 2 years of development?
- fighting with pals is underwhelming. if i ride one, i use the 3 skills i have, wait x amount of time, and use them again. there is no flow. also, the casting time sucks. waiting 3 seconds for an animation ruins the flow. why dont pals have basic attacks? like a punch to fill the gaps between cooldowns.
- riding ground pals is bad. i get stuck on the smallest rock while running on a slope. cant climb anything, so i need to get off a pal, climb, and get on the pal again. just ruins the flow
- going on and off pals is so bad. i press the button and either the pal doesnt come or i looked at something else, so the key ends up doing something else.
- whats the point of an aiming cursor if the thing im aiming at doesnt register? for example, if im close to a pal and try to shoot it, or worse, trying to pick up things from the ground while riding a pal is a pain.
- movment in base lacks. rolling around 10 times to get faster to a chest sucks
- pals put stuff in random chests. i dont want to need to modify every chest just so they put them where i want them too.

to sum up. in no way does this game deserve the overwhelmingly positive title, its too broken.",0,0,0,1,1,0,1,0,0,0,0,0,50-150h
"Palworld in its current form is a good game, but not great. It can get there with the release of 1.0, but it's not there yet.

The gunplay loses its lustre very fast and the pal fighting is just okay. Being able to customise world settings allows you to get rid of things you don't like and increase things that you do like. The base building is the main selling part of the game, but still needs a lot more polish. The guys you can catch are all very varied and neat, and the breeding/IV process is straightforward. There is a fair amount of grinding in the late-game, but if you like that, then it won't bother you.

The game is fine solo, but I would recommend playing it with friends, as it truly shines in its multiplayer and feels more lived-in as a result. With friends, it also makes the variety of combat-related things to do more interesting as well, like the enemy bases, dungeons, towers, and raids. Friends cannot help with the poorly designed oil rigs, though, as I think that all of the oil rigs probably require an overhaul to actually be fun to go through.

I have high hopes for Palworld's future as 1.0 comes ever closer. It won't ever be the Pokémon killer that people initially lauded it to be, but it doesn't have to be. It can carve out its own niche just fine, and I look forward to seeing how it turns out at full release.",True,544.5333333333333,1,7,"palworld in its current form is a good game, but not great. it can get there with the release of 1.0, but it's not there yet.

the gunplay loses its lustre very fast and the pal fighting is just okay. being able to customise world settings allows you to get rid of things you don't like and increase things that you do like. the base building is the main selling part of the game, but still needs a lot more polish. the guys you can catch are all very varied and neat, and the breeding/iv process is straightforward. there is a fair amount of grinding in the late-game, but if you like that, then it won't bother you.

the game is fine solo, but i would recommend playing it with friends, as it truly shines in its multiplayer and feels more lived-in as a result. with friends, it also makes the variety of combat-related things to do more interesting as well, like the enemy bases, dungeons, towers, and raids. friends cannot help with the poorly designed oil rigs, though, as i think that all of the oil rigs probably require an overhaul to actually be fun to go through.

i have high hopes for palworld's future as 1.0 comes ever closer. it won't ever be the pokémon killer that people initially lauded it to be, but it doesn't have to be. it can carve out its own niche just fine, and i look forward to seeing how it turns out at full release.",0,2,0,1,0,0,0,0,2,2,0,0,500-800h
"Been enjoying for 100's of hours single player. Big open world to explore on foot, riding/flying pals and gliding/grappling/climbing across diverse landscapes.

The game has enough systems to keep you occupied but I never felt overwhelmed. Fight or capture and strengthen pals. Research technologies as you/pals level up. that help you, Pals and your tech advance. Create multiple bases (as complex or basic as you want) filled with your Pals that do a lot of the busy work for you (mine/farm/make items etc).

The game ran smoothly on high/epic settings. The graphics looked good, in that they fit the game style.  Some lower res textures did not bother me. The in game music is really good without feeling repetitive, even after 300 hrs.

The game also has a lot of options (can change whenever you load up) to help you enjoy the game you want (no base raids, less stamina drop etc). There is also a great modding community for even more choice.

Looking forward to a further playthrough when the game comes out of early access.",True,453.48333333333335,1,7,"been enjoying for 100's of hours single player. big open world to explore on foot, riding/flying pals and gliding/grappling/climbing across diverse landscapes.

the game has enough systems to keep you occupied but i never felt overwhelmed. fight or capture and strengthen pals. research technologies as you/pals level up. that help you, pals and your tech advance. create multiple bases (as complex or basic as you want) filled with your pals that do a lot of the busy work for you (mine/farm/make items etc).

the game ran smoothly on high/epic settings. the graphics looked good, in that they fit the game style.  some lower res textures did not bother me. the in game music is really good without feeling repetitive, even after 300 hrs.

the game also has a lot of options (can change whenever you load up) to help you enjoy the game you want (no base raids, less stamina drop etc). there is also a great modding community for even more choice.

looking forward to a further playthrough when the game comes out of early access.",0,1,0,0,1,0,0,0,1,0,0,0,300-500h
"I found it really funny how many people boycotted, or didnt play this game because that one dude said it was made with AI,
The game isn't perfect, it doesn't have a story that people expected form a Mon capture game, But it's a fresh air to those style games that a lot of us needed to kill time in.

If you are looking for an ARK style game that has building, Mon Capture mechanics, lots of Grinding, Factory management ish, and guns, and a good time killer to play with friends on the same server this game is for you.",True,355.03333333333336,1,7,"i found it really funny how many people boycotted, or didnt play this game because that one dude said it was made with ai,
the game isn't perfect, it doesn't have a story that people expected form a mon capture game, but it's a fresh air to those style games that a lot of us needed to kill time in.

if you are looking for an ark style game that has building, mon capture mechanics, lots of grinding, factory management ish, and guns, and a good time killer to play with friends on the same server this game is for you.",0,2,0,0,0,0,0,0,0,3,0,0,300-500h
Until you reach the 5th/6th tower the game is a lot of fun. After that it becomes an absolute slog of grinding and frustration. Mid to late game bosses have way too much health and deal way too much damage to the point where if you bring a full team that counters the bosses element they will be one shot anyway. Materials needed for late game gear have absurd crafting costs that take way too long farm for (the strongest weapon currently is not even worth crafting because the amount of materials needed to craft the ammo is ridiculous). I wish I could recommend it as the first half of the game is genuinely well paced but after that it just becomes monotonous.,False,140.51666666666668,1,7,until you reach the 5th/6th tower the game is a lot of fun. after that it becomes an absolute slog of grinding and frustration. mid to late game bosses have way too much health and deal way too much damage to the point where if you bring a full team that counters the bosses element they will be one shot anyway. materials needed for late game gear have absurd crafting costs that take way too long farm for (the strongest weapon currently is not even worth crafting because the amount of materials needed to craft the ammo is ridiculous). i wish i could recommend it as the first half of the game is genuinely well paced but after that it just becomes monotonous.,0,3,0,0,0,0,0,0,0,0,0,0,50-150h
"Imagine Necesse grew up, moved to a tropical island, and started a full-scale manufacturing empire. The transition to 3D makes the base automation feel incredibly satisfying—there’s nothing quite like watching a giant electric sheep handle your logistics while you oversee the production lines.

The Loop: From ""Aww"" to ""Get Back to Work""
The early game is pure magic. You’re exploring, capturing, and marveling at the physics of it all. However, the mid-to-late game for a solo player hits a familiar, daunting wall. Your base becomes a well-oiled machine, the gameplay loop locks in, and suddenly you realize you’ve accidentally become a middle manager for magical creatures. Just when you think you're done, the arenas and massive endgame scale pull you back into the chaos.

The Wall: A Disrespectful Grind
Despite the addictive ""just five more minutes"" quality, the endgame reveals a brutal mathematical reality that is fundamentally disrespectful of a human's time. To field a competitive raid team of 15 Pals at 4 stars, you are looking at a minimum of 1,740+ Pals bred or captured just for the condensation process.

When you factor in the hunt for ""God Roll"" passive traits, a solo player is forced into a staggering cycle of:

Managing hundreds of breeding eggs.

Discarding/butchering thousands of ""failed"" units.

Engaging in what eventually feels like unpaid data entry.

For a soloist, this isn't a test of skill; it's a test of sheer endurance that the game doesn't sufficiently reward.

This does not include end game farming, ingots or ore introduced in Feybreak.. its just insanity, I mean I earn a decent real life salary for what feels like less work than this. If you play vanilla, without mods, Wand or any custom world settings, you will be crucified!

The Verdict: To 100%, I cant recommend this game at all, its far too involved.
Palworld is a brilliant, genre-bending masterpiece for the first 40 hours, but it eventually transforms into a repetitive grind that treats the player like a machine, the time investment (even when factoring in sliders or world adjustments) is just beyond acceptable and because the endgame requirements are so wildly out of sync with a solo player's time, the sheer scale and chaos - while addictive - can't quite save it from feeling like a second job. 

It’s a superb experience that ultimately demands more than it gives back.",False,189.96666666666667,6,13,"imagine necesse grew up, moved to a tropical island, and started a full-scale manufacturing empire. the transition to 3d makes the base automation feel incredibly satisfying—there’s nothing quite like watching a giant electric sheep handle your logistics while you oversee the production lines.

the loop: from ""aww"" to ""get back to work""
the early game is pure magic. you’re exploring, capturing, and marveling at the physics of it all. however, the mid-to-late game for a solo player hits a familiar, daunting wall. your base becomes a well-oiled machine, the gameplay loop locks in, and suddenly you realize you’ve accidentally become a middle manager for magical creatures. just when you think you're done, the arenas and massive endgame scale pull you back into the chaos.

the wall: a disrespectful grind
despite the addictive ""just five more minutes"" quality, the endgame reveals a brutal mathematical reality that is fundamentally disrespectful of a human's time. to field a competitive raid team of 15 pals at 4 stars, you are looking at a minimum of 1,740+ pals bred or captured just for the condensation process.

when you factor in the hunt for ""god roll"" passive traits, a solo player is forced into a staggering cycle of:

managing hundreds of breeding eggs.

discarding/butchering thousands of ""failed"" units.

engaging in what eventually feels like unpaid data entry.

for a soloist, this isn't a test of skill; it's a test of sheer endurance that the game doesn't sufficiently reward.

this does not include end game farming, ingots or ore introduced in feybreak.. its just insanity, i mean i earn a decent real life salary for what feels like less work than this. if you play vanilla, without mods, wand or any custom world settings, you will be crucified!

the verdict: to 100%, i cant recommend this game at all, its far too involved.
palworld is a brilliant, genre-bending masterpiece for the first 40 hours, but it eventually transforms into a repetitive grind that treats the player like a machine, the time investment (even when factoring in sliders or world adjustments) is just beyond acceptable and because the endgame requirements are so wildly out of sync with a solo player's time, the sheer scale and chaos - while addictive - can't quite save it from feeling like a second job. 

it’s a superb experience that ultimately demands more than it gives back.",2,2,0,0,0,0,0,0,1,0,0,1,150-300h
"---{ 1 / 10 }---
☑ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☐ 8
☐ 9
☐ 10

I Believe I've died in this game 20+ times to clipping through the ground. Enemies often get stuck in corners and bug out. Everything is a crazy grind on standard settings. The game crashes all the time! Hardly any music at all in this game! By far the worst thing about this game was the boss/raid boss fights. I couldn't see at all in most of them. Visual effects that blinds the player for several seconds, which is totally disorienting. I'll include some screen shots of this horrible graphical design. 

https://steamcommunity.com/sharedfiles/filedetails/?id=3724318531

https://steamcommunity.com/sharedfiles/filedetails/?id=3724319162
",False,143.61666666666667,2,7,"---{ 1 / 10 }---
☑ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☐ 8
☐ 9
☐ 10

i believe i've died in this game 20+ times to clipping through the ground. enemies often get stuck in corners and bug out. everything is a crazy grind on standard settings. the game crashes all the time! hardly any music at all in this game! by far the worst thing about this game was the boss/raid boss fights. i couldn't see at all in most of them. visual effects that blinds the player for several seconds, which is totally disorienting. i'll include some screen shots of this horrible graphical design. 

https://steamcommunity.com/sharedfiles/filedetails/?id=3724318531

https://steamcommunity.com/sharedfiles/filedetails/?id=3724319162
",0,1,0,0,0,1,3,0,2,0,0,0,50-150h
"I think this game is fun enough and has novel enough mechanics to be worth a shot but this is quite literally the grindiest game I think I've ever played. And looking at the achievements, it shows how far people are getting anywhere in the game. It can be a fun time but I had to be on custom difficulty to enjoy the game",False,62.68333333333333,10,7,"i think this game is fun enough and has novel enough mechanics to be worth a shot but this is quite literally the grindiest game i think i've ever played. and looking at the achievements, it shows how far people are getting anywhere in the game. it can be a fun time but i had to be on custom difficulty to enjoy the game",0,1,0,0,0,0,0,0,0,0,0,1,50-150h
"I stayed off this game at first as I thought it was a pokemon rip off. Yet, after researching and know more about the lawsuit, I decided to try as I was bored as f and I have friends to play with at that time. 

I was genuinely suprisied how good this game is.

Graphics Sublime. Map was Great despite not fully open yet. Nintendo shame on you. Money grabbing for years and still can't make a well run pokemon game.

The Pals were not the most creative as you might have known by watching videos. Yet, the mechanics of this game is just everything we wanted from a pokemon game. Throwing the spheres, mounting and controlling our pals. Using our pals' abilities.  etc etc. I think the game did a great job to satisfy the OG pokemon players by implementing such a immersive system to fight and bond with our pals. 

The baseworking pal system was also a good design eventhough turning my pals into slavery was never on my bucketlist. It add depths to the pals and also set a different direction to normal pokemon experience.

The building system was the most suprising. I am pretty bad at it but if you have ever look palworld builds on Youtube. So much you can do with this building system.

For now, I am waiting for the 1.0 version to start and learn the game all over again. 

Eventhough there migh be a lot of controversies surrounding this game, you can't denie that this is an amazing game. 

Pokemon Scarlet and Violet was the first everpokemon game that I actually play. I did manage to play til the end (without DLC). Yet, I have fight against the toaster graphics of my switch and kindergarden main story to finsh the game. The graphics and open world system is enough for Palworld to surpass Pokemon recent titles including legend series,

Palworld might be the new default creature capture game for me. Pokemon+Ark with an automatic rifle to torture the pals? It is a big yes for me. 

9/10 -1 for the grinding you need to do to make your pals perfect.",True,304.9833333333333,1,7,"i stayed off this game at first as i thought it was a pokemon rip off. yet, after researching and know more about the lawsuit, i decided to try as i was bored as f and i have friends to play with at that time. 

i was genuinely suprisied how good this game is.

graphics sublime. map was great despite not fully open yet. nintendo shame on you. money grabbing for years and still can't make a well run pokemon game.

the pals were not the most creative as you might have known by watching videos. yet, the mechanics of this game is just everything we wanted from a pokemon game. throwing the spheres, mounting and controlling our pals. using our pals' abilities.  etc etc. i think the game did a great job to satisfy the og pokemon players by implementing such a immersive system to fight and bond with our pals. 

the baseworking pal system was also a good design eventhough turning my pals into slavery was never on my bucketlist. it add depths to the pals and also set a different direction to normal pokemon experience.

the building system was the most suprising. i am pretty bad at it but if you have ever look palworld builds on youtube. so much you can do with this building system.

for now, i am waiting for the 1.0 version to start and learn the game all over again. 

eventhough there migh be a lot of controversies surrounding this game, you can't denie that this is an amazing game. 

pokemon scarlet and violet was the first everpokemon game that i actually play. i did manage to play til the end (without dlc). yet, i have fight against the toaster graphics of my switch and kindergarden main story to finsh the game. the graphics and open world system is enough for palworld to surpass pokemon recent titles including legend series,

palworld might be the new default creature capture game for me. pokemon+ark with an automatic rifle to torture the pals? it is a big yes for me. 

9/10 -1 for the grinding you need to do to make your pals perfect.",0,2,0,0,0,1,0,0,0,2,1,0,300-500h
"so writing this during the time between tides of terraria>1.0
game is a neat collectathon, base management.
theres a ton of settings you can edit. a great example is egg hatching times in single player to can just have it instantly done. edit exp rates.
i have done multiple runs of the game. 
something really needed is for organizeation purposes in base no carry weight. it is something i really would like.
sure i can edit world settings and make everything weigh effectivly 0 but i just want  to move my stack of stone/wood/iron into some other chest.
love the game hope. the lawsuit changes get reverted at some point once thats all over.
just understand to do alot of the end game content you have to really grind. approach the game with that mentality you should be fine.",True,466.85,0,7,"so writing this during the time between tides of terraria>1.0
game is a neat collectathon, base management.
theres a ton of settings you can edit. a great example is egg hatching times in single player to can just have it instantly done. edit exp rates.
i have done multiple runs of the game. 
something really needed is for organizeation purposes in base no carry weight. it is something i really would like.
sure i can edit world settings and make everything weigh effectivly 0 but i just want  to move my stack of stone/wood/iron into some other chest.
love the game hope. the lawsuit changes get reverted at some point once thats all over.
just understand to do alot of the end game content you have to really grind. approach the game with that mentality you should be fine.",1,1,0,0,0,1,0,0,0,0,0,0,300-500h
"Guns, Open world, creature capturing, and base building. The game is fun if a little grindy (which i don't mind). The setting can be controlled to suit your playstyle. Random creature and level spawns is available. I recommend just jumping and having fun.",True,360.28333333333336,0,7,"guns, open world, creature capturing, and base building. the game is fun if a little grindy (which i don't mind). the setting can be controlled to suit your playstyle. random creature and level spawns is available. i recommend just jumping and having fun.",0,2,0,1,0,0,0,0,0,0,0,0,300-500h
Good game however the grind at the later levels is absolutely horrendous. Doubt I will complete it.,True,387.3333333333333,0,7,good game however the grind at the later levels is absolutely horrendous. doubt i will complete it.,0,1,0,0,0,0,0,0,0,0,0,0,300-500h
